                  relname                  | reltuples | relpages 
-------------------------------------------+-----------+----------
 enquiry                                   |    117958 |     6399
 keyword_idx_2                             |    573599 |     3134
 keyword_idx_2_word                        |    573599 |     1682
 keyword_idx_2_type                        |    573599 |     1576
 keyword_idx_2_id                          |    573599 |     1576
 pg_toast_88297                            |      6372 |     1385
 company                                   |     10891 |     1142
 sales_enquiry                             |      9802 |      720
 keyword_idx_1                             |     85557 |      636
 profile_hdr                               |      3587 |      616
 review                                    |      5739 |      427
 pg_toast_88409                            |      2086 |      420
 article                                   |      4533 |      356
 file                                      |     36612 |      350
 enquiry_id_key                            |    117958 |      327
 pg_toast_88595                            |      1594 |      320
 pg_toast_88460                            |      1220 |      229
 link_status                               |     14385 |      215
 pg_toast_2619                             |       462 |      210
 comp_act_map                              |     36481 |      198
 image_map                                 |     26885 |      172
 comp_country_map                          |     31114 |      169
 image                                     |     22024 |      162
 image_map_bak_20181017                    |     22244 |      142
 profile_version_data                      |     23165 |      140
 proj_freq_matrix                          |     24878 |      134
 profile_general                           |      3279 |      124
 image_restore                             |     14637 |      122
 comp_cat_map                              |     19559 |      106
 pg_statistic                              |      1128 |      103
 act_app                                   |      2629 |      103
 file_id_key                               |     36612 |      103
 image_bak_20181017                        |     13988 |      103
 pg_attribute                              |      5237 |       96
 cache                                     |      7899 |       94
 cv                                        |      7392 |       86
 reciprocal_link                           |      1958 |       85
 pg_toast_88769                            |       375 |       83
 prod_act_map                              |     15169 |       82
 email_to_friend                           |      2691 |       79
 pg_proc                                   |      2895 |       74
 image_map_20180413                        |     11249 |       72
 article_map_opts                          |      5698 |       71
 image_map_copy                            |     10777 |       69
 image_map_restore                         |     10779 |       69
 image_map_04052018                        |     10805 |       69
 pg_toast_88303                            |       320 |       67
 euser                                     |      2376 |       67
 image_map_archive                         |     10211 |       66
 article_map_backup                        |      7571 |       65
 placement                                 |       426 |       65
 pg_depend                                 |      8217 |       63
 image_bak                                 |      8338 |       62
 comp_cat_map_cat_id                       |     19559 |       56
 comp_cat_map_comp_id                      |     19559 |       56
 article_link                              |     10039 |       55
 camp_new                                  |      1543 |       53
 pg_toast_88657                            |       263 |       52
 pg_toast_2618                             |       226 |       52
 pg_collation                              |      1519 |       48
 prod_cat_map                              |      7404 |       41
 pg_description                            |      4509 |       39
 listing                                   |      2799 |       39
 article_profile_map                       |      7116 |       39
 article_map                               |      3940 |       39
 pg_toast_88834                            |       187 |       39
 refdata_map                               |      6946 |       38
 prod_act_map_archive                      |      8523 |       38
 profile_tour                              |       344 |       36
 pg_depend_depender_index                  |      8217 |       34
 pg_depend_reference_index                 |      8217 |       34
 pg_toast_88335                            |       160 |       33
 company_pkey                              |     10891 |       32
 comp_act_map_archive                      |      6917 |       31
 sales_enquiry_pkey                        |      9802 |       29
 profile_hdr_url_name_key                  |      3587 |       29
 pg_proc_proname_args_nsp_index            |      2895 |       28
 article_bak                               |       278 |       28
 image_map_bak                             |      4106 |       27
 prod_country_map                          |      6036 |       27
 profile_volunteer_project                 |       657 |       26
 pg_attribute_relid_attnam_index           |      5237 |       24
 comp_country_map_archive                  |      5190 |       23
 prod_cat_map_p_id                         |      7404 |       23
 cv_id_key                                 |      7392 |       23
 camp                                      |      3075 |       23
 prod_cat_map_cat_id                       |      7404 |       23
 refdata_map_type_index                    |      6946 |       21
 refdata_map_index                         |      6946 |       21
 pg_toast_88297_index                      |      6372 |       20
 pg_description_o_c_o_index                |      4509 |       20
 prod_country_map_archive                  |      3663 |       17
