ID ,COMPANY,PLACEMENT,VOLUNTEER,GAP YEAR,SEASONAL,TOUR,TEACH,SUMMERCAMP,URL
2384,Acadia TESOL Academy,220 Hour TESOL Diploma,,,,,x,,http://www.oneworld365.org/company/acadia-tesol-academy/220-hour-tesol-diploma
2383,Acadia TESOL Academy,120 Hour TESOL Certificate,,,,,x,,http://www.oneworld365.org/company/acadia-tesol-academy/120-hour-tesol-certificate
707,Active Assistance,Our Live-in care role is rewarding in so many ways.,,,x,,,,http://www.oneworld365.org/company/active-assistance/our-live-in-care-role-is-rewarding-in-so-many-ways
675,Active Assistance,Do you want to travel around England and work? We have the perfect job for you.,,,x,,,,http://www.oneworld365.org/company/active-assistance/do-you-want-to-travel-around-england-and-work-we-have-the-perfect-job-for-you
2001,Active Assistance,Live-out Care Assistant Jobs in Bournemouth,,x,,,,,http://www.oneworld365.org/company/active-assistance/live-out-care-assistant-jobs-in-bournemouth
1048,Active Assistance,Live-in Personal Care Assistant with NVQ study.,,x,,,,,http://www.oneworld365.org/company/active-assistance/live-in-personal-care-assistant-with-nvq-study
534,Active Assistance,Rewarding Live-in Care Assistant Jobs in England,,,x,,,,http://www.oneworld365.org/company/active-assistance/rewarding-live-in-care-assistant-jobs-in-england
1034,Active Assistance,"Personal Care Assistant with NVQ study, free food, accommodation and holidays.",,,x,,,,http://www.oneworld365.org/company/active-assistance/personal-care-assistant-with-nvq-study-free-food-accommodation-and-holidays-0
870,Active Assistance,Live in care assistants WANTED - Active Assistance. ,,,x,,,,http://www.oneworld365.org/company/active-assistance/live-in-care-assistants-wanted-active-assistance
1053,Active Assistance,Live in Personal Care Assistants WANTED. Join Active Assistance.,,,x,,,,http://www.oneworld365.org/company/active-assistance/live-in-personal-care-assistants-wanted-join-active-assistance
823,Active Assistance,"WANTED - Live-in Personal Care Assistant. Free food, accommodation and travel. ",,,x,,,,http://www.oneworld365.org/company/active-assistance/wanted-live-in-personal-care-assistant-free-food-accommodation-and-travel
